sao,ra_rad,dec_rad,apparent_vm,spec
41681 ,1.91345791,0.8633267266,4.8,A
43512 ,2.853522134,0.7538069767,4.8,A
43379 ,2.762994305,0.7055564769,4.8,A
62491 ,2.963271709,0.6664630894,4.8,A
57755 ,1.367589169,0.6716803148,4.8,A
144895,5.465734027,-0.1567881627,4.8,A
184329,4.278833923,-0.4218377899,4.8,A
92681 ,0.495369893,0.3367380566,4.8,A
92680 ,0.4953683658,0.3367761145,4.8,A
93975 ,1.180545069,0.2826381827,4.8,A
82390 ,3.293658319,0.3949539501,4.8,A
186061,4.711485118,-0.415668148,4.8,A
84155 ,4.198807522,0.3980109913,4.8,A
145537,5.662510737,-0.1370822319,4.8,A
41463 ,1.822203224,0.7870425544,4.8,A
93907 ,1.152336767,0.3044547014,4.8,A
76532 ,1.122511635,0.3591641315,4.8,A
75051 ,0.5145615335,0.4118293447,4.8,A
34628 ,5.92265868,0.8996333082,4.8,A
65921 ,4.527697366,0.6508602822,4.8,A
90717 ,5.941785161,0.511513825,4.9,A
215131,0.1370791776,-0.8517810828,4.9,A
141022,4.241149937,-0.175653669,4.9,A
128186,6.13890141,0.02191377231,4.9,A
231707,6.186536245,-0.7939918253,4.9,A
254358,4.910678164,-1.132219811,4.9,A
30949 ,4.816712037,1.026264945,4.9,A
46305 ,4.403629255,0.802559695,4.9,A
84152 ,4.195091643,0.5209987683,4.9,A
132411,1.478665341,-0.1258893384,4.9,A
184301,4.268630873,-0.4994111786,4.9,A
25450 ,1.548308341,0.9722711482,4.9,A
148385,0.6368267199,-0.2145093039,4.9,A
198636,2.084221796,-0.5294371928,4.9,A
229461,4.98777612,-0.7347007604,4.9,A
102584,4.474056635,0.2223700729,4.9,A
25939 ,1.772536972,1.037454832,4.9,A
94054 ,1.218566558,0.2778224315,4.9,A
220284,2.274241173,-0.8258387996,4.9,A
120339,3.718697624,0.04205152667,4.9,A
130387,0.8544854947,-0.1539330464,4.9,A
189986,5.517007073,-0.3465352684,4.9,A
256722,2.750340741,-1.256511786,4.9,A
185470,4.587667243,-0.4182279157,4.9,A
101138,3.842894672,0.2865544107,4.9,A
176697,2.336671674,-0.4831418496,4.9,A
230644,5.588372059,-0.7122623228,4.9,A
27191 ,2.426834292,0.942859199,4.9,A
15163 ,2.723284501,1.144349413,4.9,A
29071 ,3.735726366,0.8965278341,4.9,A
165134,5.893309805,-0.1863658212,4.9,A
228466,4.669567109,-0.6997124843,4.9,A
219569,2.144277412,-0.7502691458,4.9,A
120004,3.552321932,0.06385975504,4.9,A
26687 ,2.131296526,0.8989608716,4.9,A
243279,4.204203426,-1.008369017,4.9,A
248644,0.7223189099,-1.180133317,4.9,A
4840  ,0.8374888966,1.298413311,4.9,A
79774 ,2.066018812,0.4671506582,5,A
30450 ,4.591380213,0.9629494901,5,A
75810 ,0.8504187321,0.3672950872,5,A
30447 ,4.59098235,0.9631478274,5,A
82314 ,3.259354163,0.4681957226,5,A
20853 ,6.230443348,1.183452255,5,A
105878,5.298284229,0.2652468009,5,A
220540,2.311673177,-0.7907709656,5,A
24064 ,0.9163132744,0.9678186678,5,A
26474 ,2.020248134,1.024689979,5,A
163141,5.22704498,-0.2703769054,5,A
218546,1.890291573,-0.7885925523,5,A
188101,5.084472378,-0.4277567347,5,A
258693,3.744721138,-1.413849679,5,A
57548 ,1.30575099,0.6613081625,5,A
90040 ,5.715276185,0.5266388483,5,A
38750 ,0.8789599559,0.7562449593,5,A
149789,1.216902168,-0.2115865561,5,A
203863,3.362754304,-0.5933999223,5,A
49332 ,5.294021335,0.8170880097,5,A
45590 ,4.065671261,0.7138297739,5,A
105298,5.187894772,0.3340924768,5,A
79427 ,1.960615397,0.4907549273,5,A
100211,3.324348625,0.1786447755,5,A
36602 ,0.1896673296,0.8207350206,5,A
78524 ,1.724391046,0.4890797506,5,A
168836,0.9933555255,-0.4166921229,5,A
223870,3.418894129,-0.8644153273,5,A
151093,1.592548583,-0.2877058917,5,A
228708,4.742192659,-0.7579058825,5,A
69678 ,5.299403349,0.6423925264,5,A
54493 ,0.3102880524,0.5484648208,5,A
81490 ,2.807430897,0.4047138313,5,A
66943 ,4.818112736,0.6895297971,5,A
205899,3.86147952,-0.6142148644,5,A
85957 ,4.804093233,0.5038763611,5,A
29727 ,4.179148351,0.9555641778,5,A
127839,6.000564505,0.1538674512,5,A
96015 ,1.755824499,0.3079679522,5.1,A
52623 ,6.03275514,0.7462647788,5.1,A
100012,3.211418259,0.2600395141,5.1,A
126749,5.597680264,0.1188762661,5.1,A
31119 ,4.898407481,0.9693467521,5.1,A
16848 ,4.1306106,1.092567821,5.1,A
85021 ,4.541796427,0.4275973764,5.1,A
248701,0.7801432679,-1.118250535,5.1,A
82310 ,3.256789111,0.4759200165,5.1,A
111791,1.151325276,0.1651245339,5.1,A
57799 ,1.376220695,0.5705078445,5.1,A
44002 ,3.150816573,0.7512894847,5.1,A
132715,1.566749345,-0.1668258421,5.1,A
85648 ,4.718965163,0.3769145179,5.1,A
121020,4.051944101,0.03214702557,5.1,A
187498,4.962587819,-0.3605215614,5.1,A
232520,0.4629709098,-0.9341312437,5.1,A
51101 ,5.659008879,0.7053495584,5.1,A
44556 ,3.482991418,0.8671168546,5.1,A
56727 ,1.001575226,0.5775527205,5.1,A
94051 ,1.218038305,0.2757588705,5.1,A
97016 ,1.979237624,0.2762270551,5.1,A
48011 ,4.980469517,0.8191666483,5.1,A
93960 ,1.173022191,0.2277242582,5.1,A
7522  ,3.194819233,1.354659261,5.1,A
210501,4.90342603,-0.668871062,5.1,A
215374,0.295824727,-0.7240867345,5.1,A
50121 ,5.454512869,0.7689809662,5.1,A
97542 ,2.116538531,0.2289547153,5.1,A
75146 ,0.5522438465,0.3952877928,5.1,A
24512 ,1.120146569,0.9357021855,5.1,A
37948 ,0.6077231365,0.8269368542,5.1,A
68301 ,5.088298358,0.633865381,5.1,A
119029,3.077383372,0.1441343317,5.1,A
218427,1.849593694,-0.8654003717,5.1,A
82291 ,3.247659003,0.4555060153,5.1,A
120434,3.770735998,0.1015795199,5.1,A
118615,2.88305245,0.1064885978,5.1,A
120426,3.767199161,0.1474218533,5.1,A
94197 ,1.286227083,0.1994210779,5.1,A
128022,6.07259657,0.1521945531,5.1,A
37735 ,0.5406688956,0.7388129986,5.1,A
93463 ,0.9180792567,0.1978581841,5.1,A
167086,0.390963279,-0.3775029847,5.1,A
213292,5.706079609,-0.5392785227,5.1,A
67310 ,4.905856692,0.6923730354,5.1,A
95788 ,1.709569346,0.2014902142,5.1,A
104691,5.051928097,0.2023787323,5.1,A
136276,2.300561975,-0.03311262898,5.2,A
9802  ,5.373463923,1.308204753,5.2,A
193573,0.5799227322,-0.5362322929,5.2,A
161564,4.84956546,-0.3211890153,5.2,A
98247 ,2.344190261,0.2674304987,5.2,A
23256 ,0.6211481364,0.9746918714,5.2,A
197836,1.913582192,-0.6843502901,5.2,A
42958 ,2.523581165,0.7023138975,5.2,A
255609,6.272652681,-1.122218881,5.2,A
67446 ,4.930040119,0.5681214946,5.2,A
204835,3.608202502,-0.6327194269,5.2,A
98876 ,2.610239453,0.2172021045,5.2,A
93083 ,0.7197720382,0.2172198002,5.2,A
146635,6.104120998,-0.1677378736,5.2,A
176189,2.259632695,-0.4582368739,5.2,A
78805 ,1.795726725,0.3798050255,5.2,A
20190 ,5.928232243,1.109757424,5.2,A
193723,0.6458938508,-0.5901128371,5.2,A
131176,1.150524461,-0.06537043447,5.2,A
145853,5.780489686,0.01582223385,5.2,A
106248,5.384124831,0.2273685989,5.2,A
156988,3.124207574,-0.2993383657,5.2,A
248208,0.1428150567,-1.100101778,5.2,A
36950 ,0.2967708409,0.766936216,5.2,A
119574,3.340637128,0.1339242525,5.2,A
12076 ,0.5219988905,1.127858379,5.2,A
140801,4.150653961,-0.05394032168,5.2,A
223542,3.297619489,-0.715970905,5.2,A
165818,6.194981312,-0.2482164599,5.2,A
30591 ,4.66470244,0.8862963747,5.2,A
57906 ,1.396328124,0.5926772105,5.2,A
166318,0.1325480847,-0.4151729108,5.2,A
36390 ,0.1231733395,0.7748300978,5.2,A
119058,3.088861239,0.1439186866,5.2,A
130215,0.779729334,-0.04856558025,5.2,A
137199,2.585301607,-0.1414569966,5.2,A
88391 ,5.298131295,0.5008175746,5.2,A
85770 ,4.75113958,0.3498555634,5.2,A
122418,4.576375617,0.005766907218,5.2,A
119156,3.141368379,0.06379338405,5.2,A
56031 ,0.7735622131,0.5573564492,5.2,A
246055,5.07389801,-0.9498712532,5.2,A
210277,4.853569318,-0.6929654777,5.3,A
211717,5.235355074,-0.60559255,5.3,A
96871 ,1.941546002,0.2036727,5.3,A
113150,1.518454266,0.112644762,5.3,A
50867 ,5.614986948,0.8523337704,5.3,A
240883,3.531763335,-0.8930044022,5.3,A
190050,5.535138499,-0.369898973,5.3,A
222581,2.911540441,-0.7441846857,5.3,A
81054 ,2.58257962,0.4257778222,5.3,A
2102  ,3.356381307,1.455829404,5.3,A
218424,1.850252483,-0.7389267358,5.3,A
115477,1.954919879,0.121159787,5.3,A
175206,2.12624707,-0.358745204,5.3,A
133870,1.808209902,-0.019671606,5.3,A
11612 ,0.3082946682,1.200416031,5.3,A
165658,6.120230533,-0.2624842841,5.3,A
169354,1.137301483,-0.360229752,5.3,A
234902,1.851380184,-0.9904712962,5.3,A
76455 ,1.076024573,0.4817089828,5.3,A
28832 ,3.575771885,0.9236511718,5.3,A
39699 ,1.234407966,0.7568647451,5.3,A
115581,1.972649006,0.03341379523,5.3,A
76551 ,1.132770899,0.3800206222,5.3,A
113675,1.645451477,0.1735266944,5.3,A
27430 ,2.599303292,0.8695216274,5.3,A
220636,2.329337291,-0.8293969442,5.3,A
58749 ,1.59952881,0.6716493352,5.3,A
239146,3.018595738,-1.038744679,5.3,A
149063,0.9437419235,-0.3048573877,5.3,A
101683,4.109336272,0.2242290425,5.3,A
130199,0.7706678754,-0.06479195478,5.3,A
206099,3.908426477,-0.5908955203,5.3,A
151895,1.771458867,-0.2582416796,5.3,A
55397 ,0.5931391653,0.5822205551,5.3,A
250164,2.16100203,-1.098089171,5.3,A
25447 ,1.548818995,1.045248406,5.3,A
4470  ,0.4491234675,1.232596799,5.3,A
121865,4.397241495,0.09157301405,5.3,A
65736 ,4.457596726,0.5858766806,5.3,A
252869,3.862798334,-1.097388518,5.3,A
232835,0.6868040776,-0.9170509184,5.3,A
99305 ,2.832918522,0.1840486057,5.3,A
26488 ,2.024883002,0.8802334887,5.3,A
234199,1.548265144,-0.9186595302,5.3,A
85016 ,4.538572295,0.4457138941,5.3,A
75276 ,0.6062851306,0.4999064158,5.3,A
251505,3.046127798,-1.07907439,5.3,A
6392  ,2.115272004,1.387182696,5.3,A
97224 ,2.034487912,0.1879426292,5.3,A
166528,0.1952130406,-0.3840794823,5.3,A
256535,2.264938714,-1.228482525,5.3,A
131358,1.211266282,-0.04316989486,5.3,A
62572 ,3.006632306,0.686559683,5.3,A
25161 ,1.411361518,1.004338083,5.3,A
165918,6.245463142,-0.3300247931,5.3,A
113321,1.565675385,0.009650458729,5.3,A
109793,0.3394621762,0.06308356834,5.3,A
83729 ,3.990198425,0.5090131075,5.3,A
252703,3.751837209,-1.069418841,5.3,A
76971 ,1.34305973,0.3563666596,5.3,A
